,city,idx,url
2760,Fangzhicheng,1392,http://aqicn.org/city/china/xian/fangzhicheng/
2761,Xiaozhai,1393,http://aqicn.org/city/china/xian/xiaozhai/
2762,City People,1394,http://aqicn.org/city/china/xian/shirenmintiyuchang/
2763,Gaoxin West,1395,http://aqicn.org/city/china/xian/gaoxinxiqu/
2764,Economic Development,1396,http://aqicn.org/city/china/xian/jingkaiqu/
2765,Chang,1397,http://aqicn.org/city/china/xian/changanqu/
2766,Yanliang District,1398,http://aqicn.org/city/china/xian/yanliangqu/
2767,Lintong District,1399,http://aqicn.org/city/china/xian/lintongqu/
2768,C,1400,http://aqicn.org/city/china/xian/caotan/
2769,Qujiang Cultural,1401,http://aqicn.org/city/china/xian/qujiangwenhuachanyejituan/
2770,Guangyuntan,1402,http://aqicn.org/city/china/xian/guangyuntan/
2771,City Stadium,5689,http://aqicn.org/city/china/xian/shitiyuchang/
2772,Xian,1569,http://aqicn.org/city/xian/
2773,Sanlu Hospital,3425,http://aqicn.org/city/china/baoji/sanluyiyuan/
2774,Zhuyuangou,3426,http://aqicn.org/city/china/baoji/zhuyuangou/
2775,Monitoring station,3427,http://aqicn.org/city/china/baoji/jiancezhan/
2776,Technical Schools,3428,http://aqicn.org/city/china/baoji/jigongxuexiao/
2777,Chencang EPA,3429,http://aqicn.org/city/china/baoji/chencangquhuanbaojujiashulou/
2778,University of,4413,http://aqicn.org/city/china/baoji/wenlixueyuan/
2779,Sandi Primary,4414,http://aqicn.org/city/china/baoji/sandixiaoxue/
2780,Miaogou Village,4415,http://aqicn.org/city/china/baoji/miaogoucun/
